Study,Author,Year,Journal,Study on NIS?,MeanControl,upperSEControl,SEControl,SDControl,MeanTreatment,upperSETreatment,SETreatment,SDTreatment,ReplicatesControl,ReplicatesTreatment,Parameter,Group,TaxonomicGroup,Species,Classification STUDY,Classification AUS,Sizeoftilestandardisedperm2,Sizeofassessedareatandardisedperm2,Reporteddensityperm2,Typeofmanipulation(Tile/Survey),Control,Treatment,Depth,Depthmeter,End (Y/N),Experiment,Location,Duration,Durationdays,Durationweeks,Durationmonths,Field/Lab,Year (start),Month (start),Latitude,Longtitude,Country,Feature,SubstrateMaterial,Orientation,Movement,DepthHeldConstant,Shaded/Unshaded,Shading held constant,Source of data,ControlSubstrate,TreatmentSubstrate,Orientation_Detail,Notes_1,Notes_2
Lee_2018,Lee,2018,Thesis,Y,37.55,,,23.53242444,41.33333333,,,23.38090389,6,6,PercentageCover,Invertebrates,Ascidians,Ciona intestinalis,NIS,NIS,0.0121,0.01,,Tile,Wood,Concrete,1m,1,Y,Exp11,Wirrina Cove,13 weeks,91,13,2.99177951,Field,2015,September,"35°30'5""S","138°14'38""E",Australia,Substrate,,downfacing,floating,,,,raw data supplied,Wood,Cement,,,
Lee_2018,Lee,2018,Thesis,Y,8.316666667,,,10.98916133,18.85,,,18.90224854,6,6,PercentageCover,Invertebrates,Ascidians,Ciona intestinalis,NIS,NIS,0.0121,0.01,,Tile,Wood,Polymer,1m,1,Y,Exp11,Wirrina Cove,13 weeks,91,13,2.99177951,Field,2015,September,"35°30'5""S","138°14'38""E",Australia,Substrate,,vertical,floating,,,,raw data supplied,Wood,Acrylic,,,
Lee_2018,Lee,2018,Thesis,Y,8.316666667,,,10.98916133,4,,,7.042726745,6,6,PercentageCover,Invertebrates,Ascidians,Ciona intestinalis,NIS,NIS,0.0121,0.01,,Tile,Wood,Concrete,1m,1,Y,Exp11,Wirrina Cove,13 weeks,91,13,2.99177951,Field,2015,September,"35°30'5""S","138°14'38""E",Australia,Substrate,,vertical,floating,,,,raw data supplied,Wood,Cement,,,
Lee_2018,Lee,2018,Thesis,Y,91,,,9.5289034,75,,,13.37161172,6,6,PercentageCover,Invertebrates,Ascidians,Ciona intestinalis,NIS,NIS,0.0121,0.01,,Tile,Wood,Polymer,1m,1,Y,Exp12,Wirrina Cove,13 weeks,91,13,2.99177951,Field,2015,December,"35°30'5""S","138°14'38""E",Australia,Substrate,,downfacing,floating,,,,raw data supplied,Wood,Acrylic,,,
Lee_2018,Lee,2018,Thesis,Y,91,,,9.5289034,87.33333333,,,9.521904571,6,6,PercentageCover,Invertebrates,Ascidians,Ciona intestinalis,NIS,NIS,0.0121,0.01,,Tile,Wood,Concrete,1m,1,Y,Exp12,Wirrina Cove,13 weeks,91,13,2.99177951,Field,2015,December,"35°30'5""S","138°14'38""E",Australia,Substrate,,downfacing,floating,,,,raw data supplied,Wood,Cement,,,
Lee_2018,Lee,2018,Thesis,Y,71.33333333,,,25.1925915,62.33333333,,,39.50527391,6,6,PercentageCover,Invertebrates,Ascidians,Ciona intestinalis,NIS,NIS,0.0121,0.01,,Tile,Wood,Polymer,1m,1,Y,Exp12,Wirrina Cove,13 weeks,91,13,2.99177951,Field,2015,December,"35°30'5""S","138°14'38""E",Australia,Substrate,,vertical,floating,,,,raw data supplied,Wood,Acrylic,,,
Lee_2018,Lee,2018,Thesis,Y,71.33333333,,,25.1925915,48.76666667,,,32.06254305,6,6,PercentageCover,Invertebrates,Ascidians,Ciona intestinalis,NIS,NIS,0.0121,0.01,,Tile,Wood,Concrete,1m,1,Y,Exp12,Wirrina Cove,13 weeks,91,13,2.99177951,Field,2015,December,"35°30'5""S","138°14'38""E",Australia,Substrate,,vertical,floating,,,,raw data supplied,Wood,Cement,,,
Lee_2018,Lee,2018,Thesis,Y,0.666666667,,,1.632993162,0,,,0,6,6,PercentageCover,Invertebrates,Ascidians,Ciona intestinalis,NIS,NIS,0.0121,0.01,,Tile,Wood,Polymer,1m,1,Y,Exp12,Wirrina Cove,13 weeks,91,13,2.99177951,Field,2015,December,"35°30'5""S","138°14'38""E",Australia,Substrate,,upfacing,floating,,,,raw data supplied,Wood,Acrylic,,,
Lee_2018,Lee,2018,Thesis,Y,0.666666667,,,1.632993162,0,,,0,6,6,PercentageCover,Invertebrates,Ascidians,Ciona intestinalis,NIS,NIS,0.0121,0.01,,Tile,Wood,Concrete,1m,1,Y,Exp12,Wirrina Cove,13 weeks,91,13,2.99177951,Field,2015,December,"35°30'5""S","138°14'38""E",Australia,Substrate,,upfacing,floating,,,,raw data supplied,Wood,Cement,,,
Lee_2018,Lee,2018,Thesis,Y,90.66666667,,,16.37884815,71.33333333,,,36.97927347,6,6,PercentageCover,Invertebrates,Ascidians,Ciona intestinalis,NIS,NIS,0.0121,0.01,,Tile,Wood,Polymer,1m,1,Y,Exp13,Wirrina Cove,13 weeks,91,13,2.99177951,Field,2016,March,"35°30'5""S","138°14'38""E",Australia,Substrate,,downfacing,floating,,,,raw data supplied,Wood,Acrylic,,,
Lee_2018,Lee,2018,Thesis,Y,90.66666667,,,16.37884815,78.33333333,,,16.51262144,6,6,PercentageCover,Invertebrates,Ascidians,Ciona intestinalis,NIS,NIS,0.0121,0.01,,Tile,Wood,Concrete,1m,1,Y,Exp13,Wirrina Cove,13 weeks,91,13,2.99177951,Field,2016,March,"35°30'5""S","138°14'38""E",Australia,Substrate,,downfacing,floating,,,,raw data supplied,Wood,Cement,,,
Lee_2018,Lee,2018,Thesis,Y,80,,,28.08558349,56,,,41.72289539,6,6,PercentageCover,Invertebrates,Ascidians,Ciona intestinalis,NIS,NIS,0.0121,0.01,,Tile,Wood,Polymer,1m,1,Y,Exp13,Wirrina Cove,13 weeks,91,13,2.99177951,Field,2016,March,"35°30'5""S","138°14'38""E",Australia,Substrate,,vertical,floating,,,,raw data supplied,Wood,Acrylic,,,
Lee_2018,Lee,2018,Thesis,Y,80,,,28.08558349,44.33333333,,,18.99122604,6,6,PercentageCover,Invertebrates,Ascidians,Ciona intestinalis,NIS,NIS,0.0121,0.01,,Tile,Wood,Concrete,1m,1,Y,Exp13,Wirrina Cove,13 weeks,91,13,2.99177951,Field,2016,March,"35°30'5""S","138°14'38""E",Australia,Substrate,,vertical,floating,,,,raw data supplied,Wood,Cement,,,
Lee_2018,Lee,2018,Thesis,Y,0.666666667,,,1.632993162,1.666666667,,,2.658320272,6,6,PercentageCover,Invertebrates,Ascidians,Ciona intestinalis,NIS,NIS,0.0121,0.01,,Tile,Wood,Polymer,1m,1,Y,Exp13,Wirrina Cove,13 weeks,91,13,2.99177951,Field,2016,March,"35°30'5""S","138°14'38""E",Australia,Substrate,,upfacing,floating,,,,raw data supplied,Wood,Acrylic,,,
Lee_2018,Lee,2018,Thesis,Y,0.666666667,,,1.632993162,1.333333333,,,3.265986324,6,6,PercentageCover,Invertebrates,Ascidians,Ciona intestinalis,NIS,NIS,0.0121,0.01,,Tile,Wood,Concrete,1m,1,Y,Exp13,Wirrina Cove,13 weeks,91,13,2.99177951,Field,2016,March,"35°30'5""S","138°14'38""E",Australia,Substrate,,upfacing,floating,,,,raw data supplied,Wood,Cement,,,
Lee_2018,Lee,2018,Thesis,Y,50.33333333,,,42.15052392,47.6,,,42.93623179,6,6,PercentageCover,Invertebrates,Ascidians,Ciona intestinalis,NIS,NIS,0.0121,0.01,,Tile,Wood,Polymer,1m,1,Y,Exp14,Wirrina Cove,13 weeks,91,13,2.99177951,Field,2016,June,"35°30'5""S","138°14'38""E",Australia,Substrate,,downfacing,floating,,,,raw data supplied,Wood,Acrylic,,,
Lee_2018,Lee,2018,Thesis,Y,50.33333333,,,42.15052392,32.06666667,,,36.17328664,6,6,PercentageCover,Invertebrates,Ascidians,Ciona intestinalis,NIS,NIS,0.0121,0.01,,Tile,Wood,Concrete,1m,1,Y,Exp14,Wirrina Cove,13 weeks,91,13,2.99177951,Field,2016,June,"35°30'5""S","138°14'38""E",Australia,Substrate,,downfacing,floating,,,,raw data supplied,Wood,Cement,,,
Lee_2018,Lee,2018,Thesis,Y,34.66666667,,,50.70174224,31.33333333,,,47.97777263,6,6,PercentageCover,Invertebrates,Ascidians,Ciona intestinalis,NIS,NIS,0.0121,0.01,,Tile,Wood,Polymer,1m,1,Y,Exp14,Wirrina Cove,13 weeks,91,13,2.99177951,Field,2016,June,"35°30'5""S","138°14'38""E",Australia,Substrate,,vertical,floating,,,,raw data supplied,Wood,Acrylic,,,
Lee_2018,Lee,2018,Thesis,Y,34.66666667,,,50.70174224,10.66666667,,,9.003702942,6,6,PercentageCover,Invertebrates,Ascidians,Ciona intestinalis,NIS,NIS,0.0121,0.01,,Tile,Wood,Concrete,1m,1,Y,Exp14,Wirrina Cove,13 weeks,91,13,2.99177951,Field,2016,June,"35°30'5""S","138°14'38""E",Australia,Substrate,,vertical,floating,,,,raw data supplied,Wood,Cement,,,
Lee_2018,Lee,2018,Thesis,Y,0,,,0,0,,,0,6,6,PercentageCover,Invertebrates,Ascidians,Ciona intestinalis,NIS,NIS,0.0121,0.01,,Tile,Wood,Polymer,1m,1,Y,Exp14,Wirrina Cove,13 weeks,91,13,2.99177951,Field,2016,June,"35°30'5""S","138°14'38""E",Australia,Substrate,,upfacing,floating,,,,raw data supplied,Wood,Acrylic,,,
Lee_2018,Lee,2018,Thesis,Y,0,,,0,0,,,0,6,6,PercentageCover,Invertebrates,Ascidians,Ciona intestinalis,NIS,NIS,0.0121,0.01,,Tile,Wood,Concrete,1m,1,Y,Exp14,Wirrina Cove,13 weeks,91,13,2.99177951,Field,2016,June,"35°30'5""S","138°14'38""E",Australia,Substrate,,upfacing,floating,,,,raw data supplied,Wood,Cement,,,
Lee_2018,Lee,2018,Thesis,Y,0,,,0,0.666666667,,,1.032795559,6,6,PercentageCover,Invertebrates,Polychaetes,Hydroides elegans,NIS,NIS,0.0121,0.01,,Tile,Wood,Polymer,1m,1,Y,Exp7,North Haven,13 weeks,91,13,2.99177951,Field,2015,September,"35°30'5""S","138°14'38""E",Australia,Substrate,,downfacing,floating,,,,raw data supplied,Wood,Acrylic,,,
Lee_2018,Lee,2018,Thesis,Y,0,,,0,0,,,0,6,6,PercentageCover,Invertebrates,Polychaetes,Hydroides elegans,NIS,NIS,0.0121,0.01,,Tile,Wood,Concrete,1m,1,Y,Exp7,North Haven,13 weeks,91,13,2.99177951,Field,2015,September,"35°30'5""S","138°14'38""E",Australia,Substrate,,downfacing,floating,,,,raw data supplied,Wood,Cement,,,
Lee_2018,Lee,2018,Thesis,Y,0,,,0,1,,,1.095445115,6,6,PercentageCover,Invertebrates,Polychaetes,Hydroides elegans,NIS,NIS,0.0121,0.01,,Tile,Wood,Polymer,1m,1,Y,Exp7,North Haven,13 weeks,91,13,2.99177951,Field,2015,September,"35°30'5""S","138°14'38""E",Australia,Substrate,,vertical,floating,,,,raw data supplied,Wood,Acrylic,,,
Lee_2018,Lee,2018,Thesis,Y,0,,,0,0.333333333,,,0.816496581,6,6,PercentageCover,Invertebrates,Polychaetes,Hydroides elegans,NIS,NIS,0.0121,0.01,,Tile,Wood,Concrete,1m,1,Y,Exp7,North Haven,13 weeks,91,13,2.99177951,Field,2015,September,"35°30'5""S","138°14'38""E",Australia,Substrate,,vertical,floating,,,,raw data supplied,Wood,Cement,,,
Lee_2018,Lee,2018,Thesis,Y,0,,,0,1.333333333,,,2.422120283,6,6,PercentageCover,Invertebrates,Polychaetes,Hydroides elegans,NIS,NIS,0.0121,0.01,,Tile,Wood,Polymer,1m,1,Y,Exp8,North Haven,13 weeks,91,13,2.99177951,Field,2015,December,"35°30'5""S","138°14'38""E",Australia,Substrate,,downfacing,floating,,,,raw data supplied,Wood,Acrylic,,,
Lee_2018,Lee,2018,Thesis,Y,0,,,0,1,,,2.449489743,6,6,PercentageCover,Invertebrates,Polychaetes,Hydroides elegans,NIS,NIS,0.0121,0.01,,Tile,Wood,Concrete,1m,1,Y,Exp8,North Haven,13 weeks,91,13,2.99177951,Field,2015,December,"35°30'5""S","138°14'38""E",Australia,Substrate,,downfacing,floating,,,,raw data supplied,Wood,Cement,,,
Lee_2018,Lee,2018,Thesis,Y,2.333333333,,,4.802776974,0.333333333,,,0.816496581,6,6,PercentageCover,Invertebrates,Polychaetes,Hydroides elegans,NIS,NIS,0.0121,0.01,,Tile,Wood,Polymer,1m,1,Y,Exp8,North Haven,13 weeks,91,13,2.99177951,Field,2015,December,"35°30'5""S","138°14'38""E",Australia,Substrate,,vertical,floating,,,,raw data supplied,Wood,Acrylic,,,
Lee_2018,Lee,2018,Thesis,Y,2.333333333,,,4.802776974,7,,,6.164414003,6,6,PercentageCover,Invertebrates,Polychaetes,Hydroides elegans,NIS,NIS,0.0121,0.01,,Tile,Wood,Concrete,1m,1,Y,Exp8,North Haven,13 weeks,91,13,2.99177951,Field,2015,December,"35°30'5""S","138°14'38""E",Australia,Substrate,,vertical,floating,,,,raw data supplied,Wood,Cement,,,
Lee_2018,Lee,2018,Thesis,Y,0,,,0,0.666666667,,,1.632993162,6,6,PercentageCover,Invertebrates,Polychaetes,Hydroides elegans,NIS,NIS,0.0121,0.01,,Tile,Wood,Polymer,1m,1,Y,Exp8,North Haven,13 weeks,91,13,2.99177951,Field,2015,December,"35°30'5""S","138°14'38""E",Australia,Substrate,,upfacing,floating,,,,raw data supplied,Wood,Acrylic,,,
Lee_2018,Lee,2018,Thesis,Y,0,,,0,0,,,0,6,6,PercentageCover,Invertebrates,Polychaetes,Hydroides elegans,NIS,NIS,0.0121,0.01,,Tile,Wood,Concrete,1m,1,Y,Exp8,North Haven,13 weeks,91,13,2.99177951,Field,2015,December,"35°30'5""S","138°14'38""E",Australia,Substrate,,upfacing,floating,,,,raw data supplied,Wood,Cement,,,
Lee_2018,Lee,2018,Thesis,Y,2,,,4.898979486,1.333333333,,,1.032795559,6,6,PercentageCover,Invertebrates,Polychaetes,Hydroides elegans,NIS,NIS,0.0121,0.01,,Tile,Wood,Polymer,1m,1,Y,Exp9,North Haven,13 weeks,91,13,2.99177951,Field,2016,March,"35°30'5""S","138°14'38""E",Australia,Substrate,,downfacing,floating,,,,raw data supplied,Wood,Acrylic,,,
Lee_2018,Lee,2018,Thesis,Y,2,,,4.898979486,1.666666667,,,2.338090389,6,6,PercentageCover,Invertebrates,Polychaetes,Hydroides elegans,NIS,NIS,0.0121,0.01,,Tile,Wood,Concrete,1m,1,Y,Exp9,North Haven,13 weeks,91,13,2.99177951,Field,2016,March,"35°30'5""S","138°14'38""E",Australia,Substrate,,downfacing,floating,,,,raw data supplied,Wood,Cement,,,
Lee_2018,Lee,2018,Thesis,Y,1,,,1.673320053,0.666666667,,,1.632993162,6,6,PercentageCover,Invertebrates,Polychaetes,Hydroides elegans,NIS,NIS,0.0121,0.01,,Tile,Wood,Polymer,1m,1,Y,Exp9,North Haven,13 weeks,91,13,2.99177951,Field,2016,March,"35°30'5""S","138°14'38""E",Australia,Substrate,,vertical,floating,,,,raw data supplied,Wood,Acrylic,,,
Lee_2018,Lee,2018,Thesis,Y,1,,,1.673320053,2.666666667,,,5.609515725,6,6,PercentageCover,Invertebrates,Polychaetes,Hydroides elegans,NIS,NIS,0.0121,0.01,,Tile,Wood,Concrete,1m,1,Y,Exp9,North Haven,13 weeks,91,13,2.99177951,Field,2016,March,"35°30'5""S","138°14'38""E",Australia,Substrate,,vertical,floating,,,,raw data supplied,Wood,Cement,,,
Lee_2018,Lee,2018,Thesis,Y,0,,,0,0,,,0,6,6,PercentageCover,Invertebrates,Polychaetes,Hydroides elegans,NIS,NIS,0.0121,0.01,,Tile,Wood,Polymer,1m,1,Y,Exp9,North Haven,13 weeks,91,13,2.99177951,Field,2016,March,"35°30'5""S","138°14'38""E",Australia,Substrate,,upfacing,floating,,,,raw data supplied,Wood,Acrylic,,,
Lee_2018,Lee,2018,Thesis,Y,0,,,0,0.333333333,,,0.816496581,6,6,PercentageCover,Invertebrates,Polychaetes,Hydroides elegans,NIS,NIS,0.0121,0.01,,Tile,Wood,Concrete,1m,1,Y,Exp9,North Haven,13 weeks,91,13,2.99177951,Field,2016,March,"35°30'5""S","138°14'38""E",Australia,Substrate,,upfacing,floating,,,,raw data supplied,Wood,Cement,,,
Lee_2018,Lee,2018,Thesis,Y,0,,,0,0.333333333,,,0.816496581,6,6,PercentageCover,Invertebrates,Polychaetes,Hydroides elegans,NIS,NIS,0.0121,0.01,,Tile,Wood,Polymer,1m,1,Y,Exp10,North Haven,13 weeks,91,13,2.99177951,Field,2016,June,"35°30'5""S","138°14'38""E",Australia,Substrate,,downfacing,floating,,,,raw data supplied,Wood,Acrylic,,,
Lee_2018,Lee,2018,Thesis,Y,0.333333333,,,0.816496581,0.666666667,,,1.632993162,6,6,PercentageCover,Invertebrates,Polychaetes,Hydroides elegans,NIS,NIS,0.0121,0.01,,Tile,Wood,Concrete,1m,1,Y,Exp10,North Haven,13 weeks,91,13,2.99177951,Field,2016,June,"35°30'5""S","138°14'38""E",Australia,Substrate,,downfacing,floating,,,,raw data supplied,Wood,Cement,,,
Lee_2018,Lee,2018,Thesis,Y,0.333333333,,,0.816496581,0,,,0,6,6,PercentageCover,Invertebrates,Polychaetes,Hydroides elegans,NIS,NIS,0.0121,0.01,,Tile,Wood,Polymer,1m,1,Y,Exp10,North Haven,13 weeks,91,13,2.99177951,Field,2016,June,"35°30'5""S","138°14'38""E",Australia,Substrate,,vertical,floating,,,,raw data supplied,Wood,Acrylic,,,
Lee_2018,Lee,2018,Thesis,Y,0.333333333,,,0.816496581,0.666666667,,,1.632993162,6,6,PercentageCover,Invertebrates,Polychaetes,Hydroides elegans,NIS,NIS,0.0121,0.01,,Tile,Wood,Concrete,1m,1,Y,Exp10,North Haven,13 weeks,91,13,2.99177951,Field,2016,June,"35°30'5""S","138°14'38""E",Australia,Substrate,,vertical,floating,,,,raw data supplied,Wood,Cement,,,
Lee_2018,Lee,2018,Thesis,Y,0,,,0,0,,,0,6,6,PercentageCover,Invertebrates,Polychaetes,Hydroides elegans,NIS,NIS,0.0121,0.01,,Tile,Wood,Polymer,1m,1,Y,Exp10,North Haven,13 weeks,91,13,2.99177951,Field,2016,June,"35°30'5""S","138°14'38""E",Australia,Substrate,,upfacing,floating,,,,raw data supplied,Wood,Acrylic,,,
Lee_2018,Lee,2018,Thesis,Y,0,,,0,0,,,0,6,6,PercentageCover,Invertebrates,Polychaetes,Hydroides elegans,NIS,NIS,0.0121,0.01,,Tile,Wood,Concrete,1m,1,Y,Exp10,North Haven,13 weeks,91,13,2.99177951,Field,2016,June,"35°30'5""S","138°14'38""E",Australia,Substrate,,upfacing,floating,,,,raw data supplied,Wood,Cement,,,
Lee_2018,Lee,2018,Thesis,Y,0,,,0,0,,,0,6,6,PercentageCover,Invertebrates,Polychaetes,Hydroides elegans,NIS,NIS,0.0121,0.01,,Tile,Wood,Polymer,1m,1,Y,Exp12,Wirrina Cove,13 weeks,91,13,2.99177951,Field,2015,December,"35°30'5""S","138°14'38""E",Australia,Substrate,,downfacing,floating,,,,raw data supplied,Wood,Acrylic,,,
Lee_2018,Lee,2018,Thesis,Y,0,,,0,0,,,0,6,6,PercentageCover,Invertebrates,Polychaetes,Hydroides elegans,NIS,NIS,0.0121,0.01,,Tile,Wood,Concrete,1m,1,Y,Exp12,Wirrina Cove,13 weeks,91,13,2.99177951,Field,2015,December,"35°30'5""S","138°14'38""E",Australia,Substrate,,downfacing,floating,,,,raw data supplied,Wood,Cement,,,
Lee_2018,Lee,2018,Thesis,Y,0.333333333,,,0.816496581,0.333333333,,,0.816496581,6,6,PercentageCover,Invertebrates,Polychaetes,Hydroides elegans,NIS,NIS,0.0121,0.01,,Tile,Wood,Polymer,1m,1,Y,Exp12,Wirrina Cove,13 weeks,91,13,2.99177951,Field,2015,December,"35°30'5""S","138°14'38""E",Australia,Substrate,,vertical,floating,,,,raw data supplied,Wood,Acrylic,,,
Lee_2018,Lee,2018,Thesis,Y,0.333333333,,,0.816496581,0.666666667,,,1.632993162,6,6,PercentageCover,Invertebrates,Polychaetes,Hydroides elegans,NIS,NIS,0.0121,0.01,,Tile,Wood,Concrete,1m,1,Y,Exp12,Wirrina Cove,13 weeks,91,13,2.99177951,Field,2015,December,"35°30'5""S","138°14'38""E",Australia,Substrate,,vertical,floating,,,,raw data supplied,Wood,Cement,,,
Lee_2018,Lee,2018,Thesis,Y,0.333333333,,,0.816496581,0.666666667,,,1.032795559,6,6,PercentageCover,Invertebrates,Polychaetes,Hydroides elegans,NIS,NIS,0.0121,0.01,,Tile,Wood,Polymer,1m,1,Y,Exp12,Wirrina Cove,13 weeks,91,13,2.99177951,Field,2015,December,"35°30'5""S","138°14'38""E",Australia,Substrate,,upfacing,floating,,,,raw data supplied,Wood,Acrylic,,,
Lee_2018,Lee,2018,Thesis,Y,0.333333333,,,0.816496581,0.666666667,,,1.632993162,6,6,PercentageCover,Invertebrates,Polychaetes,Hydroides elegans,NIS,NIS,0.0121,0.01,,Tile,Wood,Concrete,1m,1,Y,Exp12,Wirrina Cove,13 weeks,91,13,2.99177951,Field,2015,December,"35°30'5""S","138°14'38""E",Australia,Substrate,,upfacing,floating,,,,raw data supplied,Wood,Cement,,,
Lee_2018,Lee,2018,Thesis,Y,0,,,0,0,,,0,6,6,PercentageCover,Invertebrates,Polychaetes,Hydroides elegans,NIS,NIS,0.0121,0.01,,Tile,Wood,Polymer,1m,1,Y,Exp13,Wirrina Cove,13 weeks,91,13,2.99177951,Field,2016,March,"35°30'5""S","138°14'38""E",Australia,Substrate,,downfacing,floating,,,,raw data supplied,Wood,Acrylic,,,
Lee_2018,Lee,2018,Thesis,Y,0,,,0,0,,,0,6,6,PercentageCover,Invertebrates,Polychaetes,Hydroides elegans,NIS,NIS,0.0121,0.01,,Tile,Wood,Concrete,1m,1,Y,Exp13,Wirrina Cove,13 weeks,91,13,2.99177951,Field,2016,March,"35°30'5""S","138°14'38""E",Australia,Substrate,,downfacing,floating,,,,raw data supplied,Wood,Cement,,,
Lee_2018,Lee,2018,Thesis,Y,0,,,0,0,,,0,6,6,PercentageCover,Invertebrates,Polychaetes,Hydroides elegans,NIS,NIS,0.0121,0.01,,Tile,Wood,Polymer,1m,1,Y,Exp13,Wirrina Cove,13 weeks,91,13,2.99177951,Field,2016,March,"35°30'5""S","138°14'38""E",Australia,Substrate,,vertical,floating,,,,raw data supplied,Wood,Acrylic,,,
Lee_2018,Lee,2018,Thesis,Y,0,,,0,0.333333333,,,0.816496581,6,6,PercentageCover,Invertebrates,Polychaetes,Hydroides elegans,NIS,NIS,0.0121,0.01,,Tile,Wood,Concrete,1m,1,Y,Exp13,Wirrina Cove,13 weeks,91,13,2.99177951,Field,2016,March,"35°30'5""S","138°14'38""E",Australia,Substrate,,vertical,floating,,,,raw data supplied,Wood,Cement,,,
Lee_2018,Lee,2018,Thesis,Y,0.333333333,,,0.816496581,0,,,0,6,6,PercentageCover,Invertebrates,Polychaetes,Hydroides elegans,NIS,NIS,0.0121,0.01,,Tile,Wood,Polymer,1m,1,Y,Exp13,Wirrina Cove,13 weeks,91,13,2.99177951,Field,2016,March,"35°30'5""S","138°14'38""E",Australia,Substrate,,upfacing,floating,,,,raw data supplied,Wood,Acrylic,,,
Lee_2018,Lee,2018,Thesis,Y,0.333333333,,,0.816496581,0,,,0,6,6,PercentageCover,Invertebrates,Polychaetes,Hydroides elegans,NIS,NIS,0.0121,0.01,,Tile,Wood,Concrete,1m,1,Y,Exp13,Wirrina Cove,13 weeks,91,13,2.99177951,Field,2016,March,"35°30'5""S","138°14'38""E",Australia,Substrate,,upfacing,floating,,,,raw data supplied,Wood,Cement,,,
Lee_2018,Lee,2018,Thesis,Y,0.333333333,,,0.816496581,0,,,0,6,6,PercentageCover,Invertebrates,Polychaetes,Hydroides elegans,NIS,NIS,0.0121,0.01,,Tile,Wood,Polymer,1m,1,Y,Exp14,Wirrina Cove,13 weeks,91,13,2.99177951,Field,2016,June,"35°30'5""S","138°14'38""E",Australia,Substrate,,downfacing,floating,,,,raw data supplied,Wood,Acrylic,,,
Lee_2018,Lee,2018,Thesis,Y,0.333333333,,,0.816496581,0,,,0,6,6,PercentageCover,Invertebrates,Polychaetes,Hydroides elegans,NIS,NIS,0.0121,0.01,,Tile,Wood,Concrete,1m,1,Y,Exp14,Wirrina Cove,13 weeks,91,13,2.99177951,Field,2016,June,"35°30'5""S","138°14'38""E",Australia,Substrate,,downfacing,floating,,,,raw data supplied,Wood,Cement,,,
Lee_2018,Lee,2018,Thesis,Y,0,,,0,0,,,0,6,6,PercentageCover,Invertebrates,Polychaetes,Hydroides elegans,NIS,NIS,0.0121,0.01,,Tile,Wood,Polymer,1m,1,Y,Exp14,Wirrina Cove,13 weeks,91,13,2.99177951,Field,2016,June,"35°30'5""S","138°14'38""E",Australia,Substrate,,vertical,floating,,,,raw data supplied,Wood,Acrylic,,,
Lee_2018,Lee,2018,Thesis,Y,0,,,0,0,,,0,6,6,PercentageCover,Invertebrates,Polychaetes,Hydroides elegans,NIS,NIS,0.0121,0.01,,Tile,Wood,Concrete,1m,1,Y,Exp14,Wirrina Cove,13 weeks,91,13,2.99177951,Field,2016,June,"35°30'5""S","138°14'38""E",Australia,Substrate,,vertical,floating,,,,raw data supplied,Wood,Cement,,,
Lee_2018,Lee,2018,Thesis,Y,0,,,0,0,,,0,6,6,PercentageCover,Invertebrates,Polychaetes,Hydroides elegans,NIS,NIS,0.0121,0.01,,Tile,Wood,Polymer,1m,1,Y,Exp14,Wirrina Cove,13 weeks,91,13,2.99177951,Field,2016,June,"35°30'5""S","138°14'38""E",Australia,Substrate,,upfacing,floating,,,,raw data supplied,Wood,Acrylic,,,
Lee_2018,Lee,2018,Thesis,Y,0,,,0,0,,,0,6,6,PercentageCover,Invertebrates,Polychaetes,Hydroides elegans,NIS,NIS,0.0121,0.01,,Tile,Wood,Concrete,1m,1,Y,Exp14,Wirrina Cove,13 weeks,91,13,2.99177951,Field,2016,June,"35°30'5""S","138°14'38""E",Australia,Substrate,,upfacing,floating,,,,raw data supplied,Wood,Cement,,,
Ushiama et al._2016,Ushiama et al.,2016,Biofouling,N,10.14285714,,,3.97611919,16.375,,,7.781617533,7,8,Abundance,Invertebrates,Bryozoans,Arachnopusia unicornis,N,N,0.0121,0.001936,,Tile,Rock,Metal,33 metres,33,Y,Exp1,Sydney Harbour,3 months,91.2501,13.03572,3,Field,2012,December,33o50.797' S,151o17.988' E,Australia,Substrate,,upfacing,fixed,,Unshaded,No,raw data supplied,Sandstone,Steel,,,
Ushiama et al._2016,Ushiama et al.,2016,Biofouling,N,9.875,,,1.457737974,16.375,,,7.781617533,8,8,Abundance,Invertebrates,Bryozoans,Arachnopusia unicornis,N,N,0.0121,0.001936,,Tile,Wood,Metal,33 metres,33,Y,Exp1,Sydney Harbour,3 months,91.2501,13.03572,3,Field,2012,December,33o50.797' S,151o17.988' E,Australia,Substrate,,upfacing,fixed,,Unshaded,No,raw data supplied,Wood,Steel,,,
Ushiama et al._2016,Ushiama et al.,2016,Biofouling,N,10.14285714,,,3.97611919,14.375,,,9.226321044,7,8,Abundance,Invertebrates,Bryozoans,Arachnopusia unicornis,N,N,0.0121,0.001936,,Tile,Rock,Polymer,33 metres,33,Y,Exp1,Sydney Harbour,3 months,91.2501,13.03572,3,Field,2012,December,33o50.797' S,151o17.988' E,Australia,Substrate,,upfacing,fixed,,Unshaded,No,raw data supplied,Sandstone,Perspex,,,
