Study,Author,Year,Journal,Study on NIS?,MeanControl,upperSEControl,SEControl,SDControl,MeanTreatment,upperSETreatment,SETreatment,SDTreatment,ReplicatesControl,ReplicatesTreatment,Parameter,Group,TaxonomicGroup,Species,Classification STUDY,Classification AUS,Sizeoftilestandardisedperm2,Sizeofassessedareatandardisedperm2,Reporteddensityperm2,Typeofmanipulation(Tile/Survey),Control,Treatment,Depth,Depthmeter,End (Y/N),Experiment,Location,Duration,Durationdays,Durationweeks,Durationmonths,Field/Lab,Year (start),Month (start),Latitude,Longtitude,Country,Feature,SubstrateMaterial,Orientation,Movement,DepthHeldConstant,Shaded/Unshaded,Shading held constant,Source of data,ControlSubstrate,TreatmentSubstrate,Orientation_Detail,Notes_1,Notes_2
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,0.617283951,,,1.234567901,0,,,0,6,6,PercentageCover,Invertebrates,Ascidians,Botryllus schlosseri,NIS,NIS,0.0121,0.0081,,Tile,Fixed,Floating,2m,2,Y,Exp2,"Port Kembla, Site 1",12 weeks,84,12,2.761642625,Field,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Deep,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,0,,,0,0,,,0,6,6,PercentageCover,Invertebrates,Polychaetes,Hydroides dirampha,NIS,NIS,0.0121,0.0081,,Tile,Fixed,Floating,0.5m,0.5,Y,Exp1,"Port Kembla, Site 1",12 weeks,84,12,2.761642625,Field,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Shallow,Hydroides diramphus in dataset
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,0,,,0,0,,,0,6,6,PercentageCover,Invertebrates,Polychaetes,Hydroides dirampha,NIS,NIS,0.0121,0.0081,,Tile,Fixed,Floating,2m,2,Y,Exp2,"Port Kembla, Site 1",12 weeks,84,12,2.761642625,Field,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Deep,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,0,,,0,0,,,0,6,6,PercentageCover,Invertebrates,Bryozoans,Watersipora subtorquata,NIS,NIS,0.0121,0.0081,,Tile,Fixed,Floating,0.5m,0.5,Y,Exp1,"Port Kembla, Site 1",12 weeks,84,12,2.761642625,Field,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Shallow,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,0.102880659,,,0.252005118,0.308641975,,,0.516456806,6,6,PercentageCover,Invertebrates,Bryozoans,Watersipora subtorquata,NIS,NIS,0.0121,0.0081,,Tile,Fixed,Floating,2m,2,Y,Exp2,"Port Kembla, Site 1",12 weeks,84,12,2.761642625,Field,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Deep,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,0,,,0,0,,,0,6,6,PercentageCover,Invertebrates,Bryozoans,Watersipora arcuata,NIS,NIS,0.0121,0.0081,,Tile,Fixed,Floating,0.5m,0.5,Y,Exp1,"Port Kembla, Site 1",12 weeks,84,12,2.761642625,Field,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Shallow,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,0,,,0,0,,,0,6,6,PercentageCover,Invertebrates,Bryozoans,Watersipora arcuata,NIS,NIS,0.0121,0.0081,,Tile,Fixed,Floating,2m,2,Y,Exp2,"Port Kembla, Site 1",12 weeks,84,12,2.761642625,Field,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Deep,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,0,,,0,0,,,0,6,6,PercentageCover,Invertebrates,Bryozoans,Bugula flabellata,NIS,NIS,0.0121,0.0081,,Tile,Fixed,Floating,0.5m,0.5,Y,Exp1,"Port Kembla, Site 1",12 weeks,84,12,2.761642625,Field,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Shallow,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,0,,,0,0,,,0,6,6,PercentageCover,Invertebrates,Bryozoans,Bugula flabellata,NIS,NIS,0.0121,0.0081,,Tile,Fixed,Floating,2m,2,Y,Exp2,"Port Kembla, Site 1",12 weeks,84,12,2.761642625,Field,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Deep,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,0.102880659,,,0.252005118,1.028806584,,,1.00802047,6,6,PercentageCover,Invertebrates,Bryozoans,Schizoporella errata,NIS,NIS,0.0121,0.0081,,Tile,Fixed,Floating,0.5m,0.5,Y,Exp1,"Port Kembla, Site 1",12 weeks,84,12,2.761642625,Field,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Shallow,
